Song Name,song Artist,Rank_class,URI,Source,Peak Rank_class,Previous Rank_class,Weeks on Chart_class,Streams_class,next rank_class,Top 10 Count_class,Top 100 Count_class,times popular_class,now popular,language
חולמת,Odeya,3,spotify:track:3N48942rc1DKId7vmDDcy0,Helicon Aroma Music Ltd.,3,2,1,3,3,1,1,1,1,0
בחיבק,תמר ריילי,3,spotify:track:0OIq7kRsGg7UkLKtO7Srqd,Designer's Acid under exclusive license to D-Music,3,3,1,3,3,2,1,2,1,0
פרפרים,Odeya,3,spotify:track:2OhunYlfKcvrwQBStJD5u8,Helicon Aroma Music Ltd.,3,2,1,3,3,1,1,1,0,0
מאחל לך טוב,Osher Cohen,3,spotify:track:2RNGK9C5zMQhKMTiPL5Q0T,Helicon Aroma Music Ltd. / P.A.I Ltd.,3,3,1,3,3,2,1,2,1,0
סיפורי צדיקים,"Odeya, Ben Zur",3,spotify:track:5wXHoXp3DCnzuqZOE6rY0a,Helicon Aroma / A List Music LTD under exclusive license to D-Music,3,2,1,3,3,1,1,1,1,0
אהובתי כבר לא רואה אותי,Omer Adam,3,spotify:track:2QkVXq7dLpefWAiETsvIOs,P.A.I LTD,3,3,1,3,3,3,1,3,1,0
תהום,Omer Adam,3,spotify:track:3pTsE064ZTJ1n8bP3VAm2c,P.A.I LTD,3,3,1,3,3,3,1,3,1,0
ה' יברך אותך,Osher Cohen,3,spotify:track:1946N277M0tygagJZxCP1f,Helicon Aroma Music Ltd. / P.A.I Ltd.,3,3,1,3,3,2,1,1,1,0
את לא יודעת כמה שאני אוהב אותך,Odeya,3,spotify:track:0sMyBmtyp4riKYNpDVNSH4,Helicon Aroma Music Ltd.,3,3,1,3,3,3,1,3,1,0
Die With A Smile,"Lady Gaga, Bruno Mars",3,spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,Interscope Records,3,3,1,3,3,3,2,3,1,1
טאטע תטהר - גרסה אקוסטית,"יאיר אלייצור, Ben Zur",3,spotify:track:5bFrsEk5efTVlOTwtLBLn2,A List Music LTD under exclusive license to D-Music,3,3,1,3,3,1,1,2,1,0
תמיד אוהב אותי,ששון איפרם שאולוב,3,spotify:track:3CZdlwKHGTvfveatbfKD3q,Mobile1 Music,3,2,1,3,3,3,2,3,1,0
החדר מסתובב,ששון איפרם שאולוב,3,spotify:track:3CZdlwKHGTvfveatbfKD3q,Mobile1 Music,3,2,1,3,3,1,1,1,1,0
התקדמתי ממך,"Itay Levi, ששון איפרם שאולוב",3,spotify:track:6svDE1ySQelKOFfW7kCn2B,Mobile1 Music,3,2,1,3,3,1,1,1,1,0
New Day Will Rise,Yuval Raphael,3,spotify:track:1H5GUNNCrurtyoOKbS2tT8,KAN Israeli Public Broadcasting Corporation / Keshet Broadcasting LTD. under exclusive license to D-Music,3,2,1,3,3,1,1,1,0,1
APT.,"ROSÉ, Bruno Mars",3,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,Atlantic Records,3,2,1,3,3,3,2,3,0,1
פסיכופט,עידו מלכה,3,spotify:track:0EMfLhcfPFWdVQBCE1YXB0,Mobile1 Music,3,2,1,3,3,1,1,1,0,0
טקילה,Omer Adam,3,spotify:track:5ppuL7dOIhd7td0YCJJuwf,P.A.I LTD,3,2,1,3,3,3,1,3,0,0
עברנו הכל,Omer Adam,3,spotify:track:4L5Uj4Dt6rjFL0H7hl2qHF,P.A.I LTD,3,2,1,3,3,3,2,3,0,0
גיטרה ולנשום,Osher Cohen,3,spotify:track:0FEmTSrI0M8nImeYOrCaPi,Helicon Aroma Music Ltd. / P.A.I Ltd.,3,2,1,3,3,1,1,1,0,0
לילות וקללות,Omer Adam,3,spotify:track:4dELL8S6XVMibwBkjJACF1,P.A.I LTD,3,2,1,3,3,3,3,3,0,0
נרקומן של בדידות,Omer Adam,3,spotify:track:37ZPaitKESRLXRkjrvJVTb,P.A.I LTD,3,2,1,3,3,3,1,3,0,0
Anxiety,Doechii,3,spotify:track:3LPLRNr58Z9Pn0clnEtkXb,Top Dawg Entertainment/Capitol Records,2,2,1,3,3,1,1,1,0,1
רק שלך,Omer Adam,3,spotify:track:4zXfQYhcSboWEOAwIQST9N,P.A.I LTD,3,2,1,3,3,3,3,3,0,0
אין אותי,"Osher Cohen, Noa Kirel",3,spotify:track:34KzX8fwFPLchmOvYBDap0,Helicon Aroma Music Ltd. / P.A.I Ltd.,3,2,1,3,3,3,3,3,0,0
מגדלים,"STILLA, Ness",3,spotify:track:5nYFRLTLrqiETyy6LUPfhQ,2024 Va’ad Ha Bait records & Maman Productions by PIL ltd,3,2,1,3,3,3,3,3,0,0
תן לי את האששש,Jasmin Moallem,3,spotify:track:2v8ZRDPqR7s7KDt1QQ57hx,Helicon Music,3,2,1,3,3,1,1,1,0,0
פלסטרים,Osher Cohen,3,spotify:track:6qB33ch9RK0aoMfxfnlXa1,Helicon Aroma Music Ltd. / P.A.I Ltd.,3,2,1,3,3,3,3,3,0,0
לא לפנות אליי,Nasrin Kadri,3,spotify:track:42jtELiUhOQ9hiWjPyV0ih,Helicon Aroma Music Ltd.,3,2,1,3,3,1,1,1,0,0
תסביכים קשים,שירז אברהם,3,spotify:track:1hLd6flq2cPLvH2Xraimbu,Mobile1 Music,3,2,1,2,3,1,2,1,0,0
רוז,Peer Tasi,3,spotify:track:0Wr6wZgEP1npYg0vrsWPIZ,Peer Tasi LTD under exclusive license to D-Music,3,2,1,3,3,3,3,3,0,0
רשימת קניות,Peer Tasi,3,spotify:track:0Wr6wZgEP1npYg0vrsWPIZ,Peer Tasi LTD under exclusive license to D-Music,3,2,1,3,3,1,1,1,0,0
באמפרים,"STILLA, Ness",3,spotify:track:3FihyZ7YA7vrNiSUfWww10,2024 Va’ad Ha Bait records & Maman Productions by PIL ltd,3,2,1,2,3,3,3,3,0,0
עובד בכפר,Odeya,3,spotify:track:7dCPciHW5xuxB7G4i8G5AX,Helicon Aroma Music Ltd.,3,2,1,3,3,2,2,3,0,0
בן אדם,Odeya,3,spotify:track:5bmDwWuujqU0Of3fdwMzFJ,Helicon Aroma Music Ltd.,3,2,1,2,3,3,2,3,0,0
אבא,Ben Zur,3,spotify:track:3DTHsQnfuQVESYAYv0fybQ,A List Music LTD under exclusive list to D-Music,2,2,1,2,3,1,2,1,0,0
BIRDS OF A FEATHER,Billie Eilish,3,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Darkroom/Interscope Records,3,2,1,2,3,1,3,1,0,1
